2026-06-10 16:21:08 | pid=8103 alive=True | epoch=13 progress=2% loss=4.6400 | latest_ckpt_epoch=12 | gpu=3% mem=8291/12227MB power=59.23W temp=52C
2026-06-10 16:21:23 | pid=8103 alive=True | epoch=13 progress=42% loss=4.6400 | latest_ckpt_epoch=12 | gpu=41% mem=8292/12227MB power=75.44W temp=50C
2026-06-10 16:21:38 | pid=8103 alive=True | epoch=13 progress=88% loss=4.6500 | latest_ckpt_epoch=12 | gpu=42% mem=8292/12227MB power=97.90W temp=59C
2026-06-10 16:21:53 | pid=8103 alive=True | epoch=14 progress=33% loss=4.6500 | latest_ckpt_epoch=13 | gpu=88% mem=8292/12227MB power=91.80W temp=55C
2026-06-10 16:22:08 | pid=8103 alive=True | epoch=14 progress=74% loss=4.6500 | latest_ckpt_epoch=13 | gpu=6% mem=8292/12227MB power=72.78W temp=50C
2026-06-10 16:22:23 | pid=8103 alive=True | epoch=15 progress=21% loss=4.6300 | latest_ckpt_epoch=14 | gpu=61% mem=8292/12227MB power=89.06W temp=51C
2026-06-10 16:22:38 | pid=8103 alive=True | epoch=15 progress=65% loss=4.6400 | latest_ckpt_epoch=14 | gpu=39% mem=8293/12227MB power=79.85W temp=59C
2026-06-10 16:22:53 | pid=8103 alive=True | epoch=16 progress=9% loss=4.6600 | latest_ckpt_epoch=15 | gpu=81% mem=8284/12227MB power=89.60W temp=51C
2026-06-10 16:23:08 | pid=8103 alive=True | epoch=16 progress=49% loss=4.6500 | latest_ckpt_epoch=15 | gpu=39% mem=8288/12227MB power=80.00W temp=52C
2026-06-10 16:23:24 | pid=8103 alive=True | epoch=16 progress=91% loss=4.6300 | latest_ckpt_epoch=15 | gpu=20% mem=8279/12227MB power=83.05W temp=50C
2026-06-10 16:23:39 | pid=8103 alive=True | epoch=17 progress=33% loss=4.6200 | latest_ckpt_epoch=16 | gpu=40% mem=8279/12227MB power=71.35W temp=50C
2026-06-10 16:23:54 | pid=8103 alive=True | epoch=17 progress=79% loss=4.6400 | latest_ckpt_epoch=16 | gpu=40% mem=8279/12227MB power=75.96W temp=59C
2026-06-10 16:24:09 | pid=8103 alive=True | epoch=18 progress=26% loss=4.6400 | latest_ckpt_epoch=17 | gpu=39% mem=8279/12227MB power=76.62W temp=50C
2026-06-10 16:24:24 | pid=8103 alive=True | epoch=18 progress=70% loss=4.6500 | latest_ckpt_epoch=17 | gpu=39% mem=8297/12227MB power=83.44W temp=59C
2026-06-10 16:24:39 | pid=8103 alive=True | epoch=19 progress=16% loss=4.6400 | latest_ckpt_epoch=18 | gpu=7% mem=8278/12227MB power=80.37W temp=58C
2026-06-10 16:24:54 | pid=8103 alive=True | epoch=19 progress=63% loss=4.6500 | latest_ckpt_epoch=18 | gpu=23% mem=8286/12227MB power=72.85W temp=56C
2026-06-10 16:25:10 | pid=8103 alive=True | epoch=20 progress=5% loss=4.6300 | latest_ckpt_epoch=19 | gpu=50% mem=8294/12227MB power=80.85W temp=50C
2026-06-10 16:25:25 | pid=8103 alive=True | epoch=20 progress=53% loss=4.6400 | latest_ckpt_epoch=19 | gpu=85% mem=8292/12227MB power=90.61W temp=52C
