2026-05-30 23:00:09 | pid=110162 alive=True | epoch=1 progress=100% loss=4.7800 | latest_ckpt_epoch=1 | gpu=16% mem=7577/12227MB power=71.11W temp=47C
2026-05-30 23:00:14 | pid=110162 alive=True | epoch=2 progress=5% loss=4.7700 | latest_ckpt_epoch=1 | gpu=42% mem=7572/12227MB power=63.52W temp=55C
2026-05-30 23:00:19 | pid=110162 alive=True | epoch=2 progress=9% loss=4.7700 | latest_ckpt_epoch=1 | gpu=36% mem=7571/12227MB power=42.42W temp=45C
2026-05-30 23:00:25 | pid=110162 alive=True | epoch=2 progress=19% loss=4.8000 | latest_ckpt_epoch=1 | gpu=0% mem=7571/12227MB power=63.75W temp=46C
2026-05-30 23:00:30 | pid=110162 alive=True | epoch=2 progress=26% loss=4.8100 | latest_ckpt_epoch=1 | gpu=5% mem=7571/12227MB power=63.28W temp=48C
2026-05-30 23:00:35 | pid=110162 alive=True | epoch=2 progress=33% loss=4.7700 | latest_ckpt_epoch=1 | gpu=2% mem=7571/12227MB power=34.16W temp=44C
2026-05-30 23:00:40 | pid=110162 alive=True | epoch=2 progress=42% loss=4.7700 | latest_ckpt_epoch=1 | gpu=1% mem=7571/12227MB power=62.78W temp=48C
2026-05-30 23:00:45 | pid=110162 alive=True | epoch=2 progress=49% loss=4.8000 | latest_ckpt_epoch=1 | gpu=0% mem=7571/12227MB power=37.47W temp=44C
2026-05-30 23:00:50 | pid=110162 alive=True | epoch=2 progress=58% loss=4.7700 | latest_ckpt_epoch=1 | gpu=1% mem=7571/12227MB power=65.55W temp=53C
2026-05-30 23:00:56 | pid=110162 alive=True | epoch=2 progress=65% loss=4.7700 | latest_ckpt_epoch=1 | gpu=0% mem=7571/12227MB power=34.42W temp=43C
2026-05-30 23:01:01 | pid=110162 alive=True | epoch=2 progress=74% loss=4.7300 | latest_ckpt_epoch=1 | gpu=1% mem=7571/12227MB power=65.28W temp=44C
2026-05-30 23:01:06 | pid=110162 alive=True | epoch=2 progress=84% loss=4.7400 | latest_ckpt_epoch=1 | gpu=45% mem=7570/12227MB power=68.90W temp=44C
2026-05-30 23:01:11 | pid=110162 alive=True | epoch=2 progress=98% loss=4.7500 | latest_ckpt_epoch=1 | gpu=74% mem=7570/12227MB power=62.54W temp=46C
2026-05-30 23:01:16 | pid=110162 alive=True | epoch=3 progress=2% loss=4.7200 | latest_ckpt_epoch=2 | gpu=8% mem=7570/12227MB power=34.72W temp=43C
2026-05-30 23:01:21 | pid=110162 alive=True | epoch=3 progress=12% loss=4.7200 | latest_ckpt_epoch=2 | gpu=35% mem=7570/12227MB power=74.11W temp=44C
2026-05-30 23:01:26 | pid=110162 alive=True | epoch=3 progress=19% loss=4.7700 | latest_ckpt_epoch=2 | gpu=0% mem=7570/12227MB power=34.08W temp=43C
2026-05-30 23:01:32 | pid=110162 alive=True | epoch=3 progress=21% loss=4.7300 | latest_ckpt_epoch=2 | gpu=48% mem=7570/12227MB power=24.61W temp=41C
2026-05-30 23:01:37 | pid=110162 alive=True | epoch=3 progress=33% loss=4.7800 | latest_ckpt_epoch=2 | gpu=84% mem=7570/12227MB power=62.19W temp=42C
2026-05-30 23:01:42 | pid=110162 alive=True | epoch=3 progress=40% loss=4.7200 | latest_ckpt_epoch=2 | gpu=0% mem=7570/12227MB power=41.04W temp=42C
2026-05-30 23:01:47 | pid=110162 alive=True | epoch=3 progress=49% loss=4.7100 | latest_ckpt_epoch=2 | gpu=0% mem=7570/12227MB power=65.10W temp=52C
2026-05-30 23:01:52 | pid=110162 alive=True | epoch=3 progress=58% loss=4.7200 | latest_ckpt_epoch=2 | gpu=70% mem=7570/12227MB power=64.84W temp=44C
2026-05-30 23:01:57 | pid=110162 alive=True | epoch=3 progress=67% loss=4.7200 | latest_ckpt_epoch=2 | gpu=21% mem=7570/12227MB power=62.26W temp=46C
2026-05-30 23:02:02 | pid=110162 alive=True | epoch=3 progress=74% loss=4.7100 | latest_ckpt_epoch=2 | gpu=16% mem=7571/12227MB power=57.42W temp=42C
2026-05-30 23:02:09 | pid=110162 alive=True | epoch=3 progress=84% loss=4.7100 | latest_ckpt_epoch=2 | gpu=0% mem=7570/12227MB power=54.59W temp=42C
2026-05-30 23:02:14 | pid=110162 alive=True | epoch=3 progress=95% loss=4.7200 | latest_ckpt_epoch=2 | gpu=0% mem=7570/12227MB power=65.14W temp=46C
2026-05-30 23:02:19 | pid=110162 alive=True | epoch=4 progress=2% loss=4.7200 | latest_ckpt_epoch=3 | gpu=0% mem=7570/12227MB power=44.87W temp=42C
